"Name","Platform","Rank","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","metascore","userscore","date"
"¡Shin Chan Flipa en colores!","DS",9137,"2007","Platform","505 Games",0,0,0.14,0,0.14,NA,NA,NA
".hack: Sekai no Mukou ni + Versus","PS3",14279,"2012","Action","Namco Bandai Games",0,0,0.03,0,0.03,NA,NA,NA
".hack//G.U. Vol.1//Rebirth","PS2",8359,"2006","Role-Playing","Namco Bandai Games",0,0,0.17,0,0.17,NA,NA,NA
".hack//G.U. Vol.2//Reminisce","PS2",7109,"2006","Role-Playing","Namco Bandai Games",0.11,0.09,0,0.03,0.23,NA,NA,NA
".hack//G.U. Vol.2//Reminisce (jp sales)","PS2",8604,"2006","Role-Playing","Namco Bandai Games",0,0,0.16,0,0.16,NA,NA,NA
".hack//G.U. Vol.3//Redemption","PS2",8306,"2007","Role-Playing","Namco Bandai Games",0,0,0.17,0,0.17,NA,NA,NA
".hack//Infection Part 1","PS2",1565,"2002","Role-Playing","Atari",0.49,0.38,0.26,0.13,1.27,75,"8.3","Feb 10, 2003"
".hack//Link","PSP",9076,"2010","Role-Playing","Namco Bandai Games",0,0,0.14,0,0.14,NA,NA,NA
".hack//Mutation Part 2","PS2",3004,"2002","Role-Playing","Atari",0.23,0.18,0.2,0.06,0.68,76,"8.5","May 6, 2003"
".hack//Outbreak Part 3","PS2",4296,"2002","Role-Playing","Atari",0.14,0.11,0.17,0.04,0.46,70,"8.3","Sep 9, 2003"
".hack//Quarantine Part 4: The Final Chapter","PS2",8009,"2003","Role-Playing","Atari",0.09,0.07,0,0.02,0.18,NA,NA,NA
"'98 Koshien","PS",4756,"1998","Sports","Magical Company",0.15,0.1,0.12,0.03,0.41,NA,NA,NA
"[Prototype 2]","PC",10598,"2012","Action","Activision",0.07,0.02,0,0.01,0.1,NA,NA,NA
"[Prototype 2]","PS3",2742,"2012","Action","Activision",0.36,0.28,0,0.11,0.75,NA,NA,NA
